,TEAM,SEASON,PLAYERS
0,1610612737,2012-13,"['Al Horford', 'Anthony Morrow', 'Anthony Tolliver', 'Dahntay Jones', 'DeShawn Stevenson', 'Devin Harris', 'Ivan Johnson', 'Jannero Pargo', 'Jeff Teague', 'Jeremy Tyler', 'Johan Petro', 'John Jenkins', 'Josh Smith', 'Kyle Korver', 'Lou Williams', 'Mike Scott', 'Shelvin Mack', 'Zaza Pachulia']"
1,1610612737,2013-14,"['Al Horford', 'Cartier Martin', 'DeMarre Carroll', 'Dennis Schroder', 'Dexter Pittman', 'Elton Brand', 'Gustavo Ayon', 'James Nunnally', 'Jared Cunningham', 'Jeff Teague', 'John Jenkins', 'Kyle Korver', 'Lou Williams', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Pero Antic', 'Shelvin Mack']"
2,1610612737,2014-15,"['Adreian Payne', 'Al Horford', 'Austin Daye', 'DeMarre Carroll', 'Dennis Schroder', 'Elton Brand', 'Jeff Teague', 'John Jenkins', 'Kent Bazemore', 'Kyle Korver', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Pero Antic', 'Shelvin Mack', 'Thabo Sefolosha']"
3,1610612737,2015-16,"['Al Horford', 'Dennis Schroder', 'Edy Tavares', 'Jeff Teague', 'Justin Holiday', 'Kent Bazemore', 'Kirk Hinrich', 'Kris Humphries', 'Kyle Korver', 'Lamar Patterson', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Shelvin Mack', 'Thabo Sefolosha', 'Tiago Splitter', 'Tim Hardaway Jr.']"
4,1610612737,2016-17,"[""DeAndre' Bembry"", 'Dennis Schroder', 'Dwight Howard', 'Edy Tavares', 'Ersan Ilyasova', 'Gary Neal', 'Jose Calderon', 'Kent Bazemore', 'Kris Humphries', 'Kyle Korver', 'Lamar Patterson', 'Malcolm Delaney', 'Mike Dunleavy', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Ryan Kelly', 'Taurean Prince', 'Thabo Sefolosha', 'Tim Hardaway Jr.']"
5,1610612737,2017-18,"['Andrew White III', 'Antonius Cleveland', 'Damion Lee', ""DeAndre' Bembry"", 'Dennis Schroder', 'Dewayne Dedmon', 'Ersan Ilyasova', 'Isaiah Taylor', 'Jaylen Morris', 'Jeremy Evans', 'John Collins', 'Josh Magette', 'Kent Bazemore', 'Luke Babbitt', 'Malcolm Delaney', 'Marco Belinelli', 'Mike Muscala', 'Miles Plumlee', 'Nicolas Brussino', 'Taurean Prince', 'Tyler Cavanaugh', 'Tyler Dorsey']"
6,1610612737,2018-19,"['Alex Len', 'Alex Poythress', 'BJ Johnson', 'Daniel Hamilton', ""DeAndre' Bembry"", 'Dewayne Dedmon', 'Deyonta Davis', 'Isaac Humphries', 'Jaylen Adams', 'Jeremy Lin', 'John Collins', 'Jordan Sibert', 'Justin Anderson', 'Kent Bazemore', 'Kevin Huerter', 'Miles Plumlee', 'Omari Spellman', 'Taurean Prince', 'Trae Young', 'Tyler Dorsey', 'Tyler Zeller', 'Vince Carter']"
7,1610612737,2019-20,"['Alex Len', 'Allen Crabbe', 'Brandon Goodwin', 'Bruno Fernando', 'Cam Reddish', 'Chandler Parsons', 'Charles Brown Jr.', 'Damian Jones', ""De'Andre Hunter"", ""DeAndre' Bembry"", 'Dewayne Dedmon', 'Evan Turner', 'Jabari Parker', 'Jeff Teague', 'John Collins', 'Kevin Huerter', 'Paul Watson', 'Trae Young', 'Treveon Graham', 'Tyrone Wallace', 'Vince Carter']"
8,1610612738,2012-13,"['Avery Bradley', 'Brandon Bass', 'Chris Wilcox', 'Courtney Lee', 'DJ White', 'Darko Milicic', 'Fab Melo', 'Jared Sullinger', 'Jarvis Varnado', 'Jason Collins', 'Jason Terry', 'Jeff Green', 'Jordan Crawford', 'Kevin Garnett', 'Kris Joseph', 'Leandro Barbosa', 'Paul Pierce', 'Rajon Rondo', 'Shavlik Randolph', 'Terrence Williams']"
9,1610612738,2013-14,"['Avery Bradley', 'Brandon Bass', 'Chris Babb', 'Chris Johnson', 'Courtney Lee', 'Gerald Wallace', 'Jared Sullinger', 'Jeff Green', 'Jerryd Bayless', 'Joel Anthony', 'Jordan Crawford', 'Keith Bogans', 'Kelly Olynyk', 'Kris Humphries', 'MarShon Brooks', 'Phil Pressey', 'Rajon Rondo', 'Vander Blue', 'Vitor Faverani']"
